"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"1","построение и обслуживание структурированных кабельных систем (СКС)","4447539","57","1482513"
"1","создание и поддержка интеллектуальных медиасистем","662419","222","220806"
"1","телефония","745690","300","248563"
"1","создание виртуального офиса","425639","271","141879"
"1","организация резервного копирования","682834","140","227611"
"1","администрирование сетей и серверов","3667383","284","1833691"
"1","техническая поддержка рабочих станций и ИТ сервисов","3429857","300","1714928"
"1","веб-разработка","226612","229","75537"
"1","создание мобильных систем","4409057","193","1469685"
"1","создание и обслуживание систем контроля доступа к портам и устройствам","3090558","160","1030186"
"1","организацию антивирусной защиты","8335608","196","2778536"
"1","решения касающиеся сетевой безопасности и отражения угроз","9329425","131","4664712"
"1","организация систем видеонаблюдения","6064116","60","2021372"
"1","построение и обслуживание структурированных кабельных систем (СКС)","4721255","298","2360627"
"1","создание и поддержка интеллектуальных медиасистем","716117","222","238705"
"1","телефония","605920","349","302960"
"1","создание виртуального офиса","3166908","257","1055636"
"1","организация резервного копирования","8792296","108","4396148"
"1","администрирование сетей и серверов","4831546","321","2415773"
"1","техническая поддержка рабочих станций и ИТ сервисов","8351091","222","4175545"
"1","веб-разработка","2987690","58","995896"
"1","создание мобильных систем","7108239","49","2369413"
"1","создание и обслуживание систем контроля доступа к портам и устройствам","8242574","238","2747524"
"1","организацию антивирусной защиты","2268547","161","1134273"
"1","решения касающиеся сетевой безопасности и отражения угроз","5028290","153","1676096"
"1","организация систем видеонаблюдения","5067428","288","2533714"
"1","построение и обслуживание структурированных кабельных систем (СКС)","457082","282","152360"
"1","создание и поддержка интеллектуальных медиасистем","8813919","147","4406959"
"1","телефония","3643102","304","1214367"
"1","создание виртуального офиса","1380106","319","690053"
"1","организация резервного копирования","2478524","88","1239262"
"1","администрирование сетей и серверов","6465506","193","2155168"
"1","техническая поддержка рабочих станций и ИТ сервисов","3123515","142","1561757"
"1","веб-разработка","4810084","61","1603361"
"1","создание мобильных систем","7642027","215","2547342"
