"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","7404076","331","2468025"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","6401594","77","3200797"
"251320525167778322","телефония","3326737","210","1108912"
"-4590959470529102714","создание виртуального офиса","9411356","63","4705678"
"-6289304117607109823","организация резервного копирования","103602","349","51801"
"2965058785176708706","администрирование сетей и серверов","3180322","81","1590161"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","3716100","69","1238700"
"2994302052304582332","веб-разработка","7722852","186","3861426"
"-2038546902307346515","создание мобильных систем","6959477","340","3479738"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","4525401","281","1508467"
"2469142237839591980","организацию антивирусной защиты","7943807","36","3971903"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","6818252","230","2272750"
"-3680269178049521279","организация систем видеонаблюдения","4358747","48","1452915"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","1801925","241","600641"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","2049845","130","683281"
"251320525167778322","телефония","3907826","316","1953913"
"-4590959470529102714","создание виртуального офиса","5225659","304","1741886"
"-6289304117607109823","организация резервного копирования","7966100","192","3983050"
"2965058785176708706","администрирование сетей и серверов","867621","191","433810"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","2543471","198","847823"
"2994302052304582332","веб-разработка","3006457","317","1002152"
"-2038546902307346515","создание мобильных систем","8082956","291","2694318"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","2300715","130","1150357"
"2469142237839591980","организацию антивирусной защиты","8273282","105","2757760"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","5413036","174","2706518"
"-3680269178049521279","организация систем видеонаблюдения","8621361","41","2873787"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","5999795","187","2999897"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","4270747","284","1423582"
"251320525167778322","телефония","5179105","358","2589552"
"-4590959470529102714","создание виртуального офиса","3349747","286","1674873"
"-6289304117607109823","организация резервного копирования","220233","72","110116"
"2965058785176708706","администрирование сетей и серверов","2178598","115","726199"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","5282136","260","1760712"
"2994302052304582332","веб-разработка","861488","218","287162"
"-2038546902307346515","создание мобильных систем","5927372","29","1975790"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","7164433","249","3582216"
"2469142237839591980","организацию антивирусной защиты","8732204","56","2910734"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","8205325","329","2735108"
"-3680269178049521279","организация систем видеонаблюдения","8112545","246","4056272"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","483868","146","241934"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","6540209","191","3270104"
"251320525167778322","телефония","4264429","317","2132214"
"-4590959470529102714","создание виртуального офиса","9691363","291","4845681"
"-6289304117607109823","организация резервного копирования","813436","118","406718"
"2965058785176708706","администрирование сетей и серверов","188309","82","94154"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","9244267","248","4622133"
"2994302052304582332","веб-разработка","9919448","112","3306482"
"-2038546902307346515","создание мобильных систем","7758572","100","3879286"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","5872520","296","1957506"
"2469142237839591980","организацию антивирусной защиты","8181242","129","4090621"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","381278","362","190639"
"-3680269178049521279","организация систем видеонаблюдения","251282","58","125641"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","4763480","307","1587826"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","5830263","236","1943421"
"251320525167778322","телефония","7423204","241","2474401"
"-4590959470529102714","создание виртуального офиса","7447241","69","3723620"
"-6289304117607109823","организация резервного копирования","8627093","221","2875697"
"2965058785176708706","администрирование сетей и серверов","8202343","30","4101171"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","3143446","363","1571723"
"2994302052304582332","веб-разработка","896751","175","448375"
"-2038546902307346515","создание мобильных систем","3309044","19","1103014"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","5544146","175","2772073"
