"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"1","построение и обслуживание структурированных кабельных систем (СКС)","4310966","297","2155483"
"1","создание и поддержка интеллектуальных медиасистем","5635125","166","1878375"
"1","телефония","9683659","85","4841829"
"1","создание виртуального офиса","1519784","239","759892"
"1","организация резервного копирования","221417","185","110708"
"1","администрирование сетей и серверов","2570433","346","1285216"
"1","техническая поддержка рабочих станций и ИТ сервисов","7464714","330","2488238"
"1","веб-разработка","3257809","329","1085936"
"1","создание мобильных систем","8293887","243","2764629"
"1","создание и обслуживание систем контроля доступа к портам и устройствам","8796784","49","4398392"
"1","организацию антивирусной защиты","1213594","35","606797"
"1","решения касающиеся сетевой безопасности и отражения угроз","2128706","195","709568"
"1","организация систем видеонаблюдения","3500716","360","1166905"
"1","построение и обслуживание структурированных кабельных систем (СКС)","1250081","304","416693"
"1","создание и поддержка интеллектуальных медиасистем","579379","270","193126"
"1","телефония","2630335","327","1315167"
"1","создание виртуального офиса","2306294","213","768764"
"1","организация резервного копирования","7147627","255","3573813"
"1","администрирование сетей и серверов","9222656","168","4611328"
"1","техническая поддержка рабочих станций и ИТ сервисов","7275839","336","3637919"
"1","веб-разработка","7414709","292","2471569"
"1","создание мобильных систем","4169430","201","1389810"
"1","создание и обслуживание систем контроля доступа к портам и устройствам","7161482","137","2387160"
"1","организацию антивирусной защиты","796338","131","265446"
"1","решения касающиеся сетевой безопасности и отражения угроз","9216891","157","3072297"
"1","организация систем видеонаблюдения","9287478","21","4643739"
"1","построение и обслуживание структурированных кабельных систем (СКС)","4173584","62","1391194"
"1","создание и поддержка интеллектуальных медиасистем","7126671","318","3563335"
"1","телефония","234093","173","78031"
"1","создание виртуального офиса","5306085","48","1768695"
"1","организация резервного копирования","4938707","182","2469353"
"1","администрирование сетей и серверов","7034713","76","2344904"
"1","техническая поддержка рабочих станций и ИТ сервисов","1320463","188","660231"
"1","веб-разработка","8068059","302","4034029"
"1","создание мобильных систем","9360078","159","4680039"
"1","создание и обслуживание систем контроля доступа к портам и устройствам","5014222","188","2507111"
"1","организацию антивирусной защиты","9391039","75","4695519"
"1","решения касающиеся сетевой безопасности и отражения угроз","3683949","302","1841974"
"1","организация систем видеонаблюдения","6179523","59","3089761"
"1","построение и обслуживание структурированных кабельных систем (СКС)","2092620","134","1046310"
"1","создание и поддержка интеллектуальных медиасистем","9536151","238","3178717"
"1","телефония","3336255","67","1112085"
"1","создание виртуального офиса","8301968","121","2767322"
"1","организация резервного копирования","5117440","22","1705813"
"1","администрирование сетей и серверов","8298133","123","4149066"
"1","техническая поддержка рабочих станций и ИТ сервисов","6632135","223","3316067"
"1","веб-разработка","4526240","240","2263120"
"1","создание мобильных систем","9155148","286","4577574"
"1","создание и обслуживание систем контроля доступа к портам и устройствам","1753208","323","584402"
"1","организацию антивирусной защиты","2517984","113","1258992"
"1","решения касающиеся сетевой безопасности и отражения угроз","8739357","136","4369678"
"1","организация систем видеонаблюдения","4143412","316","1381137"
"1","построение и обслуживание структурированных кабельных систем (СКС)","4861121","305","1620373"
"1","создание и поддержка интеллектуальных медиасистем","6453159","165","3226579"
"1","телефония","7322884","103","2440961"
"1","создание виртуального офиса","5641958","307","2820979"
"1","организация резервного копирования","6219513","98","3109756"
"1","администрирование сетей и серверов","7707638","339","3853819"
"1","техническая поддержка рабочих станций и ИТ сервисов","3402801","215","1701400"
"1","веб-разработка","5633860","354","1877953"
"1","создание мобильных систем","6964273","229","2321424"
"1","создание и обслуживание систем контроля доступа к портам и устройствам","5582843","308","2791421"
"1","организацию антивирусной защиты","9551193","138","4775596"
"1","решения касающиеся сетевой безопасности и отражения угроз","1629423","226","814711"
"1","организация систем видеонаблюдения","7093187","129","2364395"
"1","построение и обслуживание структурированных кабельных систем (СКС)","768244","228","384122"
"1","создание и поддержка интеллектуальных медиасистем","7722295","153","2574098"
"1","телефония","9169073","64","4584536"
"1","создание виртуального офиса","5679864","321","2839932"
"1","организация резервного копирования","7345417","23","3672708"
"1","администрирование сетей и серверов","1598590","154","799295"
"1","техническая поддержка рабочих станций и ИТ сервисов","9904806","349","3301602"
"1","веб-разработка","6675619","282","2225206"
"1","создание мобильных систем","4787653","339","1595884"
"1","создание и обслуживание систем контроля доступа к портам и устройствам","9886253","16","3295417"
"1","организацию антивирусной защиты","9843976","176","3281325"
"1","решения касающиеся сетевой безопасности и отражения угроз","7437963","299","3718981"
"1","организация систем видеонаблюдения","3414866","283","1138288"
"1","построение и обслуживание структурированных кабельных систем (СКС)","8668640","262","4334320"
"1","создание и поддержка интеллектуальных медиасистем","9813046","102","4906523"
"1","телефония","4472231","177","2236115"
"1","создание виртуального офиса","9990705","357","3330235"
"1","организация резервного копирования","9554403","82","3184801"
"1","администрирование сетей и серверов","9679169","281","3226389"
"1","техническая поддержка рабочих станций и ИТ сервисов","7717377","311","2572459"
"1","веб-разработка","7099475","42","3549737"
"1","создание мобильных систем","8240737","137","2746912"
"1","создание и обслуживание систем контроля доступа к портам и устройствам","6673171","262","2224390"
"1","организацию антивирусной защиты","5988604","298","2994302"
"1","решения касающиеся сетевой безопасности и отражения угроз","9359351","109","4679675"
"1","организация систем видеонаблюдения","5152507","274","2576253"
"1","построение и обслуживание структурированных кабельных систем (СКС)","7936636","31","2645545"
"1","создание и поддержка интеллектуальных медиасистем","1468562","339","734281"
"1","телефония","1257057","300","419019"
"1","создание виртуального офиса","1764341","182","882170"
"1","организация резервного копирования","4929658","35","1643219"
"1","администрирование сетей и серверов","7710006","253","2570002"
"1","техническая поддержка рабочих станций и ИТ сервисов","2961682","327","987227"
"1","веб-разработка","6778506","130","2259502"
"1","создание мобильных систем","2579396","237","859798"
