"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","1936236","97","968118"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","4983518","184","2491759"
"251320525167778322","телефония","9113402","263","4556701"
"-4590959470529102714","создание виртуального офиса","8701409","230","4350704"
"-6289304117607109823","организация резервного копирования","1266485","345","633242"
"2965058785176708706","администрирование сетей и серверов","6554805","23","2184935"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","4720631","276","2360315"
"2994302052304582332","веб-разработка","9799115","183","3266371"
"-2038546902307346515","создание мобильных систем","9083963","18","3027987"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","8005670","91","2668556"
"2469142237839591980","организацию антивирусной защиты","3429421","310","1143140"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","5617806","191","1872602"
"-3680269178049521279","организация систем видеонаблюдения","4142468","311","2071234"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","9091132","110","3030377"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","7500416","134","3750208"
"251320525167778322","телефония","3275909","64","1637954"
"-4590959470529102714","создание виртуального офиса","4786119","127","2393059"
"-6289304117607109823","организация резервного копирования","8435275","193","4217637"
"2965058785176708706","администрирование сетей и серверов","7746705","55","3873352"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","8136203","201","4068101"
"2994302052304582332","веб-разработка","6985982","44","3492991"
"-2038546902307346515","создание мобильных систем","3619079","175","1206359"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","1592085","141","796042"
"2469142237839591980","организацию антивирусной защиты","2934054","116","1467027"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","8778473","293","4389236"
"-3680269178049521279","организация систем видеонаблюдения","6637858","31","2212619"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","9818658","311","4909329"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","2115697","273","1057848"
"251320525167778322","телефония","2473714","195","1236857"
"-4590959470529102714","создание виртуального офиса","8967651","246","4483825"
"-6289304117607109823","организация резервного копирования","4061442","168","1353814"
"2965058785176708706","администрирование сетей и серверов","6916421","295","3458210"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","6693387","349","2231129"
"2994302052304582332","веб-разработка","7436735","232","2478911"
"-2038546902307346515","создание мобильных систем","6890442","80","2296814"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","1707075","87","853537"
"2469142237839591980","организацию антивирусной защиты","3500019","56","1750009"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","5201815","364","1733938"
"-3680269178049521279","организация систем видеонаблюдения","459077","178","229538"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","6437824","60","2145941"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","7584696","152","3792348"
"251320525167778322","телефония","2857102","139","1428551"
"-4590959470529102714","создание виртуального офиса","4958153","220","2479076"
"-6289304117607109823","организация резервного копирования","7802222","148","3901111"
"2965058785176708706","администрирование сетей и серверов","9962231","21","4981115"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","6709541","280","3354770"
"2994302052304582332","веб-разработка","9326859","141","4663429"
"-2038546902307346515","создание мобильных систем","4991651","235","1663883"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","5023807","56","1674602"
"2469142237839591980","организацию антивирусной защиты","9744950","240","4872475"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","9861005","257","4930502"
"-3680269178049521279","организация систем видеонаблюдения","2329767","142","776589"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","849395","264","283131"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","4422217","268","2211108"
"251320525167778322","телефония","7415862","71","3707931"
"-4590959470529102714","создание виртуального офиса","6382239","311","2127413"
"-6289304117607109823","организация резервного копирования","752270","42","376135"
"2965058785176708706","администрирование сетей и серверов","5929557","19","1976519"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","8870011","270","2956670"
"2994302052304582332","веб-разработка","8798065","97","4399032"
"-2038546902307346515","создание мобильных систем","9399200","190","4699600"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","5859031","116","2929515"
"2469142237839591980","организацию антивирусной защиты","4240697","276","1413565"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","5806452","42","1935484"
"-3680269178049521279","организация систем видеонаблюдения","1728392","260","576130"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","9533252","135","4766626"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","8153622","323","4076811"
"251320525167778322","телефония","8182713","148","2727571"
"-4590959470529102714","создание виртуального офиса","680510","284","226836"
"-6289304117607109823","организация резервного копирования","2290297","158","1145148"
"2965058785176708706","администрирование сетей и серверов","2502569","129","1251284"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","1000173","124","500086"
"2994302052304582332","веб-разработка","3862242","291","1287414"
"-2038546902307346515","создание мобильных систем","773296","69","257765"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","1775531","66","591843"
"2469142237839591980","организацию антивирусной защиты","2455258","166","1227629"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","4039433","196","2019716"
"-3680269178049521279","организация систем видеонаблюдения","6866893","68","3433446"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","6959376","257","2319792"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","7519655","133","2506551"
"251320525167778322","телефония","323089","35","107696"
"-4590959470529102714","создание виртуального офиса","2041622","304","680540"
"-6289304117607109823","организация резервного копирования","5798798","346","1932932"
"2965058785176708706","администрирование сетей и серверов","8471842","130","2823947"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","9974777","146","4987388"
"2994302052304582332","веб-разработка","8821343","301","4410671"
"-2038546902307346515","создание мобильных систем","6990277","41","3495138"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","7126620","141","3563310"
"2469142237839591980","организацию антивирусной защиты","5525694","31","1841898"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","7502561","278","3751280"
"-3680269178049521279","организация систем видеонаблюдения","876297","24","292099"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","9841521","355","4920760"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","8264686","292","4132343"
"251320525167778322","телефония","1967689","204","655896"
"-4590959470529102714","создание виртуального офиса","3926477","92","1308825"
"-6289304117607109823","организация резервного копирования","3169733","294","1056577"
"2965058785176708706","администрирование сетей и серверов","4526475","302","1508825"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","7742540","52","3871270"
"2994302052304582332","веб-разработка","5921454","364","1973818"
"-2038546902307346515","создание мобильных систем","3980778","338","1990389"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","3060222","98","1020074"
"2469142237839591980","организацию антивирусной защиты","7008568","191","3504284"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","4493017","149","1497672"
"-3680269178049521279","организация систем видеонаблюдения","849022","172","283007"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","9679188","251","3226396"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","4124134","58","2062067"
"251320525167778322","телефония","4126106","66","1375368"
"-4590959470529102714","создание виртуального офиса","2730066","53","1365033"
"-6289304117607109823","организация резервного копирования","1947962","30","973981"
"2965058785176708706","администрирование сетей и серверов","1059436","142","529718"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","550722","40","183574"
"2994302052304582332","веб-разработка","3993157","325","1331052"
"-2038546902307346515","создание мобильных систем","4678416","178","2339208"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","4941679","307","2470839"
"2469142237839591980","организацию антивирусной защиты","6807668","137","2269222"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","9966798","188","3322266"
"-3680269178049521279","организация систем видеонаблюдения","5716621","223","1905540"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","1082005","66","360668"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","8949356","217","4474678"
"251320525167778322","телефония","2910585","75","970195"
"-4590959470529102714","создание виртуального офиса","879952","250","293317"
"-6289304117607109823","организация резервного копирования","5427576","226","1809192"
"2965058785176708706","администрирование сетей и серверов","7592972","32","2530990"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","3713608","245","1856804"
"2994302052304582332","веб-разработка","5472510","70","1824170"
"-2038546902307346515","создание мобильных систем","4766103","356","1588701"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","4445509","126","1481836"
"2469142237839591980","организацию антивирусной защиты","8788219","264","2929406"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","1790012","261","895006"
"-3680269178049521279","организация систем видеонаблюдения","3513415","181","1756707"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","1456446","147","728223"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","4143563","183","1381187"
"251320525167778322","телефония","9375114","341","3125038"
"-4590959470529102714","создание виртуального офиса","5643078","112","1881026"
"-6289304117607109823","организация резервного копирования","4263492","352","1421164"
"2965058785176708706","администрирование сетей и серверов","1615696","177","807848"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","5540058","119","2770029"
"2994302052304582332","веб-разработка","8782128","191","4391064"
"-2038546902307346515","создание мобильных систем","637871","120","212623"
