"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","7217088","283","2405696"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","9731108","248","4865554"
"251320525167778322","телефония","2053961","257","1026980"
"-4590959470529102714","создание виртуального офиса","8656319","249","2885439"
"-6289304117607109823","организация резервного копирования","6484130","252","3242065"
"2965058785176708706","администрирование сетей и серверов","1272513","116","636256"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","1210931","355","605465"
"2994302052304582332","веб-разработка","6752769","51","2250923"
"-2038546902307346515","создание мобильных систем","1732877","65","577625"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","3698401","22","1232800"
"2469142237839591980","организацию антивирусной защиты","8848096","306","2949365"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","9039213","52","4519606"
"-3680269178049521279","организация систем видеонаблюдения","5488639","345","2744319"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","6244841","235","3122420"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","2712535","49","1356267"
"251320525167778322","телефония","2169464","86","1084732"
"-4590959470529102714","создание виртуального офиса","3598269","214","1199423"
"-6289304117607109823","организация резервного копирования","4447080","41","2223540"
"2965058785176708706","администрирование сетей и серверов","220464","300","73488"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","2897616","360","1448808"
"2994302052304582332","веб-разработка","1274786","238","637393"
"-2038546902307346515","создание мобильных систем","9686602","224","3228867"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","7122903","201","2374301"
"2469142237839591980","организацию антивирусной защиты","6694736","100","3347368"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","8445729","177","2815243"
"-3680269178049521279","организация систем видеонаблюдения","4517469","336","1505823"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","8180345","288","2726781"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","8849555","129","2949851"
"251320525167778322","телефония","4105420","72","2052710"
"-4590959470529102714","создание виртуального офиса","7360212","295","3680106"
"-6289304117607109823","организация резервного копирования","5963489","78","1987829"
"2965058785176708706","администрирование сетей и серверов","2611556","167","870518"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","3383873","357","1127957"
"2994302052304582332","веб-разработка","2056711","319","685570"
"-2038546902307346515","создание мобильных систем","8759259","230","4379629"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","2169905","146","1084952"
"2469142237839591980","организацию антивирусной защиты","2602356","118","1301178"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","6526519","208","2175506"
"-3680269178049521279","организация систем видеонаблюдения","9542179","272","4771089"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","5320605","306","1773535"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","6714293","98","3357146"
"251320525167778322","телефония","8039662","38","4019831"
"-4590959470529102714","создание виртуального офиса","1846153","135","923076"
"-6289304117607109823","организация резервного копирования","5235956","236","2617978"
"2965058785176708706","администрирование сетей и серверов","1421086","343","710543"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","1536549","334","512183"
"2994302052304582332","веб-разработка","6223267","242","3111633"
"-2038546902307346515","создание мобильных систем","4930841","327","2465420"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","7411356","217","2470452"
"2469142237839591980","организацию антивирусной защиты","3293439","204","1097813"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","4054830","117","2027415"
"-3680269178049521279","организация систем видеонаблюдения","6709627","83","3354813"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","103319","121","34439"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","1035123","251","345041"
"251320525167778322","телефония","4050787","267","2025393"
"-4590959470529102714","создание виртуального офиса","478055","34","239027"
"-6289304117607109823","организация резервного копирования","4081151","268","2040575"
"2965058785176708706","администрирование сетей и серверов","4290759","328","1430253"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","8327090","179","2775696"
"2994302052304582332","веб-разработка","2976087","261","992029"
"-2038546902307346515","создание мобильных систем","1205621","41","401873"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","6075255","140","3037627"
"2469142237839591980","организацию антивирусной защиты","7903838","253","2634612"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","2655496","93","885165"
"-3680269178049521279","организация систем видеонаблюдения","7312691","121","2437563"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","523445","26","174481"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","7790581","101","3895290"
"251320525167778322","телефония","2660681","96","886893"
"-4590959470529102714","создание виртуального офиса","3300697","65","1650348"
"-6289304117607109823","организация резервного копирования","2542795","345","1271397"
"2965058785176708706","администрирование сетей и серверов","323593","153","161796"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","4334639","194","1444879"
"2994302052304582332","веб-разработка","3682709","123","1227569"
"-2038546902307346515","создание мобильных систем","8161948","73","2720649"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","8502608","287","2834202"
"2469142237839591980","организацию антивирусной защиты","302470","251","100823"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","8697294","114","4348647"
"-3680269178049521279","организация систем видеонаблюдения","3203848","136","1067949"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","2194037","76","731345"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","978145","197","326048"
"251320525167778322","телефония","9502189","127","4751094"
"-4590959470529102714","создание виртуального офиса","7345166","70","2448388"
"-6289304117607109823","организация резервного копирования","5163160","342","1721053"
"2965058785176708706","администрирование сетей и серверов","6931410","221","3465705"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","8760137","253","4380068"
"2994302052304582332","веб-разработка","6402731","256","2134243"
"-2038546902307346515","создание мобильных систем","6909961","59","3454980"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","1500662","49","500220"
"2469142237839591980","организацию антивирусной защиты","8342317","189","2780772"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","7347361","148","3673680"
"-3680269178049521279","организация систем видеонаблюдения","1631804","175","543934"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","5784840","168","1928280"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","7111336","20","3555668"
"251320525167778322","телефония","5774356","77","1924785"
"-4590959470529102714","создание виртуального офиса","8294889","276","4147444"
"-6289304117607109823","организация резервного копирования","9791157","234","3263719"
"2965058785176708706","администрирование сетей и серверов","2373169","233","1186584"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","4010318","142","1336772"
"2994302052304582332","веб-разработка","6918756","190","3459378"
"-2038546902307346515","создание мобильных систем","4752655","230","2376327"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","7056821","321","3528410"
"2469142237839591980","организацию антивирусной защиты","2307809","177","769269"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","8579252","229","4289626"
"-3680269178049521279","организация систем видеонаблюдения","4891999","247","2445999"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","3016108","87","1508054"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","3152914","159","1576457"
"251320525167778322","телефония","3730598","193","1243532"
"-4590959470529102714","создание виртуального офиса","1760898","210","586966"
"-6289304117607109823","организация резервного копирования","4179159","314","2089579"
"2965058785176708706","администрирование сетей и серверов","8630431","160","4315215"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","9779668","296","4889834"
"2994302052304582332","веб-разработка","6533382","201","3266691"
"-2038546902307346515","создание мобильных систем","8742809","362","4371404"
