"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"1","построение и обслуживание структурированных кабельных систем (СКС)","923177","305","461588"
"1","создание и поддержка интеллектуальных медиасистем","3722306","132","1861153"
"1","телефония","4125794","189","2062897"
"1","создание виртуального офиса","351731","266","175865"
"1","организация резервного копирования","174153","115","58051"
"1","администрирование сетей и серверов","5010288","222","1670096"
"1","техническая поддержка рабочих станций и ИТ сервисов","1644783","156","822391"
"1","веб-разработка","3223753","218","1074584"
"1","создание мобильных систем","4890833","230","2445416"
"1","создание и обслуживание систем контроля доступа к портам и устройствам","9109278","325","3036426"
"1","организацию антивирусной защиты","9012875","316","3004291"
"1","решения касающиеся сетевой безопасности и отражения угроз","2190561","269","730187"
"1","организация систем видеонаблюдения","7717245","347","2572415"
"1","построение и обслуживание структурированных кабельных систем (СКС)","1453503","161","726751"
"1","создание и поддержка интеллектуальных медиасистем","8099833","226","4049916"
"1","телефония","2505275","257","1252637"
"1","создание виртуального офиса","9256715","150","4628357"
"1","организация резервного копирования","2685433","197","895144"
"1","администрирование сетей и серверов","6214680","226","3107340"
"1","техническая поддержка рабочих станций и ИТ сервисов","3775010","67","1887505"
"1","веб-разработка","7871831","62","2623943"
"1","создание мобильных систем","1333664","324","444554"
"1","создание и обслуживание систем контроля доступа к портам и устройствам","6555345","29","3277672"
"1","организацию антивирусной защиты","1828186","304","609395"
"1","решения касающиеся сетевой безопасности и отражения угроз","2372959","131","790986"
"1","организация систем видеонаблюдения","505616","364","252808"
"1","построение и обслуживание структурированных кабельных систем (СКС)","1683600","14","841800"
"1","создание и поддержка интеллектуальных медиасистем","2384870","302","794956"
"1","телефония","358213","88","119404"
"1","создание виртуального офиса","9575783","163","3191927"
"1","организация резервного копирования","2811248","342","1405624"
"1","администрирование сетей и серверов","6856147","125","3428073"
"1","техническая поддержка рабочих станций и ИТ сервисов","1032211","33","344070"
"1","веб-разработка","8601341","64","2867113"
"1","создание мобильных систем","3842895","304","1921447"
"1","создание и обслуживание систем контроля доступа к портам и устройствам","4434308","253","2217154"
"1","организацию антивирусной защиты","1775480","24","887740"
"1","решения касающиеся сетевой безопасности и отражения угроз","1863330","121","931665"
"1","организация систем видеонаблюдения","6419809","340","3209904"
"1","построение и обслуживание структурированных кабельных систем (СКС)","5813530","90","2906765"
"1","создание и поддержка интеллектуальных медиасистем","5241681","86","1747227"
"1","телефония","3830386","56","1915193"
"1","создание виртуального офиса","9428032","357","4714016"
"1","организация резервного копирования","3840896","337","1280298"
"1","администрирование сетей и серверов","8314275","270","2771425"
"1","техническая поддержка рабочих станций и ИТ сервисов","7892567","26","2630855"
"1","веб-разработка","3867008","198","1289002"
"1","создание мобильных систем","1843825","290","921912"
"1","создание и обслуживание систем контроля доступа к портам и устройствам","8041028","213","4020514"
"1","организацию антивирусной защиты","5959131","210","1986377"
"1","решения касающиеся сетевой безопасности и отражения угроз","6601217","61","3300608"
"1","организация систем видеонаблюдения","5276870","117","1758956"
"1","построение и обслуживание структурированных кабельных систем (СКС)","3133977","328","1566988"
"1","создание и поддержка интеллектуальных медиасистем","625703","270","312851"
"1","телефония","9305310","217","3101770"
"1","создание виртуального офиса","1383488","137","691744"
"1","организация резервного копирования","703194","92","234398"
"1","администрирование сетей и серверов","3504285","191","1752142"
"1","техническая поддержка рабочих станций и ИТ сервисов","7988642","80","2662880"
"1","веб-разработка","4509198","57","2254599"
"1","создание мобильных систем","5427090","256","1809030"
"1","создание и обслуживание систем контроля доступа к портам и устройствам","2833103","312","1416551"
"1","организацию антивирусной защиты","713402","95","237800"
"1","решения касающиеся сетевой безопасности и отражения угроз","7206588","174","3603294"
"1","организация систем видеонаблюдения","1460067","216","486689"
"1","построение и обслуживание структурированных кабельных систем (СКС)","4440997","23","2220498"
"1","создание и поддержка интеллектуальных медиасистем","4503480","210","2251740"
"1","телефония","258054","120","129027"
"1","создание виртуального офиса","2576996","269","858998"
"1","организация резервного копирования","9044680","359","3014893"
"1","администрирование сетей и серверов","2754274","144","1377137"
"1","техническая поддержка рабочих станций и ИТ сервисов","470512","98","156837"
"1","веб-разработка","2519213","236","839737"
"1","создание мобильных систем","5290559","66","2645279"
"1","создание и обслуживание систем контроля доступа к портам и устройствам","6705487","352","2235162"
"1","организацию антивирусной защиты","2307632","110","1153816"
"1","решения касающиеся сетевой безопасности и отражения угроз","7184980","17","3592490"
"1","организация систем видеонаблюдения","7656494","326","3828247"
"1","построение и обслуживание структурированных кабельных систем (СКС)","1234586","251","411528"
"1","создание и поддержка интеллектуальных медиасистем","4906228","324","2453114"
"1","телефония","4954856","302","2477428"
"1","создание виртуального офиса","5014197","258","1671399"
"1","организация резервного копирования","4164008","219","1388002"
"1","администрирование сетей и серверов","5138379","192","1712793"
"1","техническая поддержка рабочих станций и ИТ сервисов","912457","184","304152"
